lat,long,ang
35.1,-162.76,-127.39
38.65,-165.71,-112.45
34.13,-158.66,-132.4
32.71,-157.56,-144.78
40.4,-170.86,-138.02
49.11,-170.92,-137.63
36.51,176.68,-129.83
41.45,-174.49,-231.75
37.73,160.5,-163.44
24.21,175.25,-150.19
43.54,179.56,-168.63
64.47,-167.3,-175.54
39.96,145.86,-87.46
46.32,133.91,-72.48
42.31,172.39,-81.97
41.96,177.7,-93.51
52.7,156.6,-90.74
64.05,154.71,-87.78
46.02,136.58,-92.56
59.93,-175.98,-179.86
53.24,126.06,-130.98
37.97,143.69,-120.02
66.06,132.91,-140.9
84.18,63.99,-141.04
35.06,-153.77,-139.3
39.35,-156.07,-124.98
33.87,-149.98,-144.38
31.78,-149.25,-156.44
39.44,-161.93,-150.32
47.82,-162.08,-151.54
36.26,-173.52,-140.39
35.06,-168.59,-243.3
35.51,169.78,-172.67
23,-175.59,-157.37
40.84,-172.15,-180.64
61.54,-161.03,-191.59
11.64,56.09,111.78
5.57,65.85,113.03
12.76,61.36,136.97
15.85,56.36,143.78
4.41,53.41,130.43
3.38,-125.65,-137.88
1.79,51.94,110.11
9.57,12.97,182.26
5.32,-152.01,-115.02
14.27,37.04,107.02
8.66,-154.88,-140.33
24.22,-150.53,-168.79
23.01,-155.55,-118.98
20.03,-167.91,-108.03
30.92,-141.01,-161.79
30.49,-130.9,-183.36
37.91,-143.44,-180.03
45.65,-144.34,-184.82
35.93,-153.79,-167.71
18.22,-152.84,-265.78
30.57,-170.84,-196.34
21.17,-155.74,-176.32
34.94,-166.56,-199.86
53.57,-162.69,-213.9
41.27,-145.06,-149.01
46.46,-148.18,-136.24
39.72,-140.87,-153.3
36.75,-139.69,-164.53
44.74,-153.14,-161.87
52.79,-153.16,-165.08
42.2,-165.85,-152.44
33.5,-155.97,-253.3
39.14,178.1,-185.93
28.12,-167.11,-165.93
44.21,-162.56,-193.26
64.4,-148.77,-207.46
40.59,-139.42,-151.83
46.27,-141.88,-139.66
38.77,-135.48,-156.09
35.42,-134.67,-166.95
43.83,-147.42,-164.82
51.72,-146.95,-169.08
42.08,-159.95,-154.67
29.01,-152.3,-254.25
38.4,-176.39,-187.32
27.62,-162.13,-166
42.52,-157.19,-195.76
61.97,-142.88,-212.86
41.69,-151.94,-145.5
46.2,-155.78,-132.1
40.46,-147.5,-149.81
38,-145.89,-161.39
45.42,-160.14,-158.12
53.62,-160.85,-160.05
41.95,-172.9,-149.6
38.56,-160.77,-251.13
39.74,171.46,-183.85
28.48,-173.12,-165.56
45.87,-169.23,-189.82
66.82,-156.71,-200.56
0,0,0
0,0,0
17.66,-162.54,-150.38
19.47,-163.34,-131.69
67.58,-111.9,-194.36
55.11,-80.94,-231.53
-44.48,127.16,278.04
-34.84,144.58,297.03
40.41,-64.27,-283.91
26.56,132.71,247.12
8.22,-80.11,-291.34
25.33,-70.86,-262.19
-7.48,127.63,289.25
11.81,164.13,306.51
33.36,-138.64,175.51
38.15,-141.45,188.36
32.44,-134.99,170.53
29.29,-133.86,159.55
34.75,-147.5,164.42
42.44,-150.41,160.76
31.17,-156.29,177.58
13.45,-157.99,78.86
24.1,-173.1,151.53
16.4,-156.23,168.44
30.95,-158.74,136.5
53.97,-159.79,118.91
43.07,-134.57,-169.26
48.71,-138.13,-157.89
41.44,-130.25,-173.06
37.78,-128.79,-183.29
45.25,-142.8,-182.91
52.98,-143.55,-187.92
42.92,-155.19,-172.76
24.86,-144.72,-269.59
36.91,-171.04,-204.62
28.16,-155.66,-181.72
42.27,-152.16,-213.79
63.26,-140.63,-232.06
-29.15,-50.68,-80.05
24.01,133.08,56.89
0.69,128.32,36.39
22.3,-58.21,-31.33
67.37,-64.66,-18.95
89.8,-52.42,-16.34
50.39,-6.32,31.16
25.31,168.23,-63.38
12,29.37,-22.35
17,100.29,-58.15
55.77,122.85,-71.67
50.47,151.38,-97.38
34.7,145.95,157.7
44.32,151.12,151.34
23.3,21.39,113.67
4.28,9.57,146.82
1.44,178.52,-127.11
9.74,-179.98,-120.55
4.83,-8.54,114
-19.5,-26.94,199.54
5.01,150.71,-126.72
11.98,-17.96,136.8
10.53,164.53,-142.22
32.65,173.72,-142.91
0,0,0
0,0,0
19.32,-128.26,34.24
36.02,-106.19,66.77
48.51,-66.27,31.62
27.93,40.01,38.79
48.19,115.58,82.95
44.83,122.52,90.47
34.89,130.9,110.98
32.65,129.75,110.36
39.15,129.57,126.16
40.91,130.34,132.32
59.95,-131.27,61.86
20.95,146.6,-64.89
19.32,-128.26,34.24
41.92,-131.46,59.92
72.02,132.26,37.01
38.14,78.17,72.61
24.1,79.91,-92.14
25.23,80.72,-99.6
28.04,80.77,-117.18
29.48,80.8,-127.78
34.22,89.5,-134.6
35.62,92.7,-136.6
38,123.13,-148.19
77.98,130.61,-214.57
42.79,108.67,-182.51
41.43,124.28,-213.24
50.58,89.25,-218
44.73,62.9,-193.4
15.18,90.87,110.81
9.71,98.28,121.91
22.07,91.5,134.76
17.73,83.46,133.94
15.34,81.21,121.66
9.6,81.24,137.1
26.53,97.29,99.21
33.46,15.38,94.47
27.28,84.25,68.56
52.84,112.71,73.64
0.23,63.75,65.9
12.3,64.2,83.57
15.18,90.87,110.81
16.9,96.75,121.21
44.11,79.27,137.12
54.02,70.1,135.53
23.09,80.33,123.72
11.8,79.85,141.94
11.13,84.52,113.59
25.3,28.44,146.38
3.37,60.45,104.84
22.77,75.35,92.69
11.82,63.24,126.42
-12,56.39,172.4
11.7,87.66,111.94
6.21,95.48,121.93
18.43,89.32,135.87
22.01,84.04,136.37
5.24,81.86,129.43
1.14,-98.3,-141.92
3.57,-97.2,-112.78
16.38,35.54,158.41
10.44,-121.39,-114.44
5.91,69.24,95
7.55,-127.09,-138.42
15.31,-125.13,-177.78
10.09,-90.73,-69.48
13.65,-94,-64.49
24.54,-105.12,-54.07
32.2,-114.85,-49.8
21.28,-135.02,-46.16
16.3,-140.87,-46.37
25.38,11.76,63.93
11,166.73,-144.77
3.77,165.24,-67.37
5.84,-36.38,92.47
28.39,147.02,-96.91
55.88,165.81,-90.75
